Date,Open,High,Low,Close,AdjClose,Volume
2024-05-01,166.179993,168.809998,164.899994,165.570007,165.381805,25223200
2024-05-02,166.669998,168.529999,165.690002,168.460007,168.268524,17041100
2024-05-03,169.539993,169.850006,164.979996,168.990005,168.797928,22767100
2024-05-06,169.220001,169.899994,167.889999,169.830002,169.636963,15147900
2024-05-07,170.119995,173.470001,170.000000,172.979996,172.783371,21102400
2024-05-08,170.750000,171.908997,170.522003,171.160004,170.965454,14569900
2024-05-09,171.149994,172.440002,169.929993,171.580002,171.384979,11937700
2024-05-10,169.690002,171.339996,167.910004,170.289993,170.096436,18740500
2024-05-13,165.847000,170.949997,165.759995,170.899994,170.705734,19648600
2024-05-14,171.589996,172.779999,170.419998,171.929993,171.734573,18729500
2024-05-15,172.300003,174.046005,172.029999,173.880005,173.682358,20958200
2024-05-16,174.600006,176.339996,174.050003,175.429993,175.230591,17247300
2024-05-17,175.550003,177.494995,174.979996,177.289993,177.088470,16546400
2024-05-20,177.309998,179.949997,177.225006,178.460007,178.257156,17495100
2024-05-21,178.399994,179.820007,177.309998,179.539993,179.335922,14706000
2024-05-22,178.399994,178.852005,176.779999,178.000000,177.797668,16189400
2024-05-23,178.779999,179.910004,174.539993,175.059998,174.861008,14928400
2024-05-24,176.520004,177.304001,175.199997,176.330002,176.129578,11400600
2024-05-28,175.740005,178.509995,175.679993,178.020004,177.817657,15655300
2024-05-29,176.809998,178.229996,176.259995,177.399994,177.198349,15023800
2024-05-30,176.690002,176.690002,173.229996,173.559998,173.362717,18844000
2024-05-31,173.399994,174.419998,170.970001,173.960007,173.762268,28085200
2024-06-03,173.880005,175.860001,172.449997,174.419998,174.221741,20742800
2024-06-04,174.449997,175.190002,173.220001,175.130005,174.930939,14066600
2024-06-05,176.535004,177.970001,175.289993,177.070007,176.868744,15233900
2024-06-06,177.429993,178.710007,177.210007,178.350006,178.147278,14255800
2024-06-07,178.460007,179.419998,175.789993,175.949997,175.750000,14716300
2024-06-10,176.449997,178.470001,174.380005,176.630005,176.630005,17122200
2024-06-11,177.720001,178.389999,175.440002,178.190002,178.190002,14402400
2024-06-12,179.750000,182.080002,177.779999,179.559998,179.559998,18600400
2024-06-13,177.839996,178.509995,176.660004,176.740005,176.740005,15956900
2024-06-14,175.852005,178.729996,175.852005,178.369995,178.369995,12361600
2024-06-17,176.979996,179.919998,176.490005,178.779999,178.779999,15272900
2024-06-18,178.789993,178.910004,175.619995,176.449997,176.449997,15640300
2024-06-20,176.710007,178.740005,176.460007,177.710007,177.710007,16753200
2024-06-21,178.490005,182.511993,178.059998,180.259995,180.259995,59728000
2024-06-24,181.279999,182.080002,180.229996,180.789993,180.789993,18198300
2024-06-25,181.145004,185.750000,181.104996,185.580002,185.580002,18917700
2024-06-26,184.199997,185.929993,183.990005,185.369995,185.369995,13375700
2024-06-27,185.645004,187.500000,185.449997,186.860001,186.860001,13025700
2024-06-28,185.720001,186.580002,183.324997,183.419998,183.419998,23032400
2024-07-01,184.479996,185.339996,182.729996,184.490005,184.490005,11815900
2024-07-02,183.470001,186.949997,183.059998,186.610001,186.610001,12555500
2024-07-03,186.300003,187.619995,185.384995,187.389999,187.389999,7409100
2024-07-05,187.320007,192.259995,187.320007,191.960007,191.960007,14303400
2024-07-08,191.365005,191.679001,189.320007,190.479996,190.479996,12097600
2024-07-09,191.750000,192.860001,190.229996,190.440002,190.440002,10198500
2024-07-10,190.750000,193.309998,190.619995,192.660004,192.660004,12052900
2024-07-11,191.339996,192.410004,186.820007,187.300003,187.300003,16452000
2024-07-12,186.919998,188.690002,186.139999,186.779999,186.779999,14449100
2024-07-15,186.490005,189.899994,186.490005,188.190002,188.190002,12186000
2024-07-16,188.960007,190.339996,185.119995,185.500000,185.500000,12760100
2024-07-17,184.679993,185.229996,181.619995,182.619995,182.619995,17376600
2024-07-18,183.539993,184.050003,178.210007,179.220001,179.220001,17877200
2024-07-19,180.369995,181.970001,178.860001,179.389999,179.389999,14485900
2024-07-22,182.350006,184.300003,181.899994,183.350006,183.350006,16303900
2024-07-23,183.839996,185.220001,183.330002,183.600006,183.600006,23772600
2024-07-24,175.389999,177.949997,173.570007,174.369995,174.369995,31250700
2024-07-25,174.250000,175.199997,169.050003,169.160004,169.160004,28967900
2024-07-26,168.770004,169.839996,165.865005,168.679993,168.679993,25150100
2024-07-29,170.500000,172.160004,169.720001,171.130005,171.130005,13768900
2024-07-30,171.830002,172.949997,170.119995,171.860001,171.860001,13681400